;Namen;name_id;id
0;Petra Nicolaisen;;
1;Astrid Damerow;;
2;Mark Helfrich;;
3;Johann David Wadephul;@JoWadephul;389682667
4;Jens Mathias Stein;@stonie_kiel;46498076
5;Melanie Bernstein;;
6;Michael Abercron;@mvabercron;862747349277450240
7;Gero Storjohann;@gero_storjohann;20534846.0
8;Ingo Gädechens;@gadechens;1.157298670745899e+18
9;Norbert Brackmann;;
10;Claudia Schmidtke;@MdB_Schmidtke;1340469592666324992
11;Dietrich Monstadt;@MdBMonstadt;1.1801023892752056e+18
12;Karin Strenz;;
13;Peter Stein;@Peter_Stein_CDU;2885729417
14;Angela Dorothea Merkel;;
15;Philipp Amthor;;
16;Eckhardt Harald Rehberg;;
17;Johannes Kahrs;;
18;Matthias Bartke;@matthiasbartke;3376953843.0
19;Niels Annen;@NielsAnnen;42401449
20;Christoph Johannes Ploß;@christophploss;928335737803722753
21;Aydan Saliha Özoğuz;@oezoguz;83342791
22;Metin Hakverdi;@MetinHakverdi;1043288618
23;Johann Saathoff;@Johann_Saathoff;159217491.0
24;Gitta Connemann;@GittaConnemann;103658778.0
25;Gitta Connemann;@gitta_connemann;1.1257514452052623e+18
26;Siemtje Möller;@SiemtjeMdB;1115940238801743872
27;Dennis Rohde;@DennisRohde;18160122.0
28;Astrid Katharina Josefine Grotelüschen;;
29;Enak Ferlemann;;
30;Oliver Klaus Grundmann;;
31;Albert Stegemann;@StegemannAlbert;1.1279612484931297e+18
32;Silvia Breher;@BreherSilvia;1337056810566553607
33;Axel Knoerig;@axel_knoerig;9.289748162202542e+17
34;Andreas Mattfeldt;@AMattfeldt;23447001
35;Lars Klingbeil;@larsklingbeil;16255941
36;Michael Grosse-Brömer;@MGrosseBroemer;574424501
37;Eckhard Pols;;
38;André Berghegger;;
39;Mathias Middelberg;;
40;Maik Beermann;@MaikBeermann;569257486.0
41;Kerstin Tack;;
42;Yasmin Fahimi;@yasmin_fahimi;238088709.0
43;Hendrik Hoppenstedt;;
44;Henning Otte;;
45;Hubertus Heil;@hubertus_heil;15943222.0
46;Johannes Schraps;@jschraps;1356753444.0
47;Matthias Miersch;;
48;Bernd Helmut Westphal;;
49;Sigmar Hartmut Gabriel;@sigmargabriel;569832889
50;Carola Reimann;;
51;Falko Mohrs;@FalkoMohrs;79228932.0
52;Roy Kühne;@Dr_Roy_Kuehne;1906911697
53;Thomas Oppermann;@ThomasOppermann;293066780
54;Sarah Janina Ryglewski;@RyglewskiS;4858227178
55;Uwe Schmidt;;
56;Sebastian Steineke;@SteinekeCDU;277006619.0
