Name;Vorname;Geburtsjahr;Beruf;Partei_KurzBez;Gewählt_Land;Gewählt_Wahlkreis_Nr;Gewählt_Wahlkreis_Bez;Wiedergewählt
Abercron;Michael;1952;Dipl.-Agraringenieur / Angestellter ö. D. / Unternehmer;CDU;SH;7;Pinneberg;
Achelwilm;Doris Maria;1976;Angestellte;DIE LINKE;HB;;;
Aggelidis;Grigorios;1965;Vermögensverwalter;FDP;NI;;;
Akbulut;Gökay;1982;Sozialwissenschaftlerin;DIE LINKE;BW;;;
Albani;Stephan;1968;MdB / Geschäftsführer;CDU;NI;;;X
Alt;Renata;1965;Chemieingenieurin;FDP;BW;;;
Altenkamp;Norbert Maria;1972;Bürgermeister;CDU;HE;181;Main-Taunus;
Altmaier;Peter;1958;Jurist;CDU;SL;297;Saarlouis;X
Amthor;Philipp;1992;Jurist;CDU;MV;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;
Amtsberg;Luise;1984;MdB / Islamwissenschaftlerin;GRÜNE;SH;;;X
Andreae;Kerstin;1968;Dipl.-Volkswirtin;GRÜNE;BW;;;X
Annen;Niels;1973;Historiker;SPD;HH;20;Hamburg-Eimsbüttel;X
Arndt-Brauer;Ingrid;1961;MdB / Dipl.-Kauffrau / Dipl.-Soziologin;SPD;NW;;;X
Aschenberg-Dugnus;Christine;1959;Rechtsanwältin;FDP;SH;;;
Auernhammer;Artur;1963;MdB / Landwirtschaftsmeister;CSU;BY;241;Ansbach;X
Aumer;Peter;1976;Dipl.-Betriebswirt (FH);CSU;BY;233;Regensburg;
Badum;Lisa Hildegard;1983;Politikwissenschaftlerin;GRÜNE;BY;;;
Baehrens;Heike;1955;MdB / Diakonin;SPD;BW;;;X
Baerbock;Annalena;1980;Völkerrechtlerin;GRÜNE;BB;;;X
Bahr;Ulrike;1964;MdB;SPD;BY;;;X
Bär;Dorothee;1978;MdB;CSU;BY;248;Bad Kissingen;X
Bareiß;Thomas;1975;MdB;CDU;BW;295;Zollernalb – Sigmaringen;X
Barley;Katarina;1968;MdB / Juristin;SPD;RP;;;X
Barnett;Doris;1953;MdB / Juristin;SPD;RP;;;X
Barrientos Krauss;Simone;1963;Verlegerin;DIE LINKE;BY;;;
Barthle;Norbert;1952;MdB / parl. Staatssekretär;CDU;BW;269;Backnang – Schwäbisch Gmünd;X
Bartke;Matthias;1959;Jurist;SPD;HH;19;Hamburg-Altona;X
Bartol;Sören;1974;Dipl.-Politologe;SPD;HE;171;Marburg;X
Bartsch;Dietmar Gerhard;1958;MdB;DIE LINKE;MV;;;X
Bas;Bärbel;1968;MdB;SPD;NW;115;Duisburg I;X
Bauer;Nicole;1987;Dipl.-Wirtschaftsingenieurin (FH);FDP;BY;;;
Baumann;Bernd;1958;Kaufmann;AfD;HH;;;
Bause;Margarete;1959;MdL;GRÜNE;BY;;;
Bayaz;Danyal;1983;Unternehmensberater;GRÜNE;BW;;;
Bayram;Canan;1966;Rechtsanwältin;GRÜNE;BE;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;
Beeck;Jens;1969;Rechtsanwalt;FDP;NI;;;
Beek;Olaf;1967;selbst. Unternehmer;FDP;NW;;;
Beer;Nicola Gertrud Ruth;1970;Rechtsanwältin;FDP;HE;;;
Beermann;Maik;1981;MdB / Sparkassenbetriebswirt;CDU;NI;40;Nienburg II – Schaumburg;X
Behrens;Manfred;1956;MdB;CDU;ST;67;Börde – Jerichower Land;X
