,Namen,name_id,id,partei,WKR_NR,wahlkreis,twitter
0,Petra Nicolaisen,,,CDU,1.0,Flensburg – Schleswig,0
1,Astrid Damerow,,,CDU,2.0,Nordfriesland – Dithmarschen Nord,0
2,Mark Helfrich,,,CDU,3.0,Steinburg – Dithmarschen Süd,0
3,Johann David Wadephul,@JoWadephul,389682667.0,CDU,4.0,Rendsburg-Eckernförde,1
4,Jens Mathias Stein,@stonie_kiel,46498076.0,SPD,5.0,Kiel,1
5,Melanie Bernstein,,,CDU,6.0,Plön – Neumünster,0
6,Michael Abercron,@mvabercron,8.627473492774502e+17,CDU,7.0,Pinneberg,1
7,Gero Storjohann,@gero_storjohann,20534846.0,CDU,8.0,Segeberg – Stormarn-Mitte,1
8,Ingo Gädechens,@gadechens,1.157298670745899e+18,CDU,9.0,Ostholstein – Stormarn-Nord,1
9,Norbert Brackmann,,,CDU,10.0,Herzogtum Lauenburg – Stormarn-Süd,0
10,Claudia Schmidtke,@MdB_Schmidtke,1.3404695926663247e+18,CDU,11.0,Lübeck,1
11,Dietrich Monstadt,@MdBMonstadt,1.1801023892752056e+18,CDU,12.0,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,1
12,Karin Strenz,,,CDU,13.0,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,0
13,Peter Stein,@Peter_Stein_CDU,2885729417.0,CDU,14.0,Rostock – Landkreis Rostock II,1
14,Angela Dorothea Merkel,,,CDU,15.0,Vorpommern-Rügen – Vorpommern-Greifswald I,0
15,Philipp Amthor,,,CDU,16.0,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,0
16,Eckhardt Harald Rehberg,,,CDU,17.0,Mecklenburgische Seenplatte II – Landkreis Rostock III,0
17,Johannes Kahrs,,,SPD,18.0,Hamburg-Mitte,0
18,Matthias Bartke,@matthiasbartke,3376953843.0,SPD,19.0,Hamburg-Altona,1
19,Niels Annen,@NielsAnnen,42401449.0,SPD,20.0,Hamburg-Eimsbüttel,1
20,Christoph Johannes Ploß,@christophploss,9.283357378037229e+17,CDU,21.0,Hamburg-Nord,1
21,Aydan Saliha Özoğuz,@oezoguz,83342791.0,SPD,22.0,Hamburg-Wandsbek,1
22,Metin Hakverdi,@MetinHakverdi,1043288618.0,SPD,23.0,Hamburg-Bergedorf – Harburg,1
23,Johann Saathoff,@Johann_Saathoff,159217491.0,SPD,24.0,Aurich – Emden,1
24,Gitta Connemann,@GittaConnemann,103658778.0,CDU,25.0,Unterems,1
25,Gitta Connemann,@gitta_connemann,1.1257514452052623e+18,CDU,25.0,Unterems,1
26,Siemtje Möller,@SiemtjeMdB,1.1159402388017437e+18,SPD,26.0,Friesland – Wilhelmshaven – Wittmund,1
27,Dennis Rohde,@DennisRohde,18160122.0,SPD,27.0,Oldenburg – Ammerland,1
